gender,cross_sell_email,age,conversion
0,short,15,0
1,short,27,0
1,long,17,0
1,long,34,0
1,no_email,14,0
0,no_email,17,1
1,long,16,0
1,short,19,1
1,short,17,1
0,no_email,17,0
1,no_email,27,0
1,short,22,0
1,short,16,0
1,long,28,0
0,short,26,0
0,long,15,0
1,no_email,18,0
1,short,26,0
0,long,18,0
1,no_email,16,0
1,long,21,0
1,no_email,17,0
1,short,23,0
1,short,44,0
0,no_email,22,0
0,short,26,0
1,short,42,0
0,long,35,0
0,no_email,16,0
0,no_email,26,0
1,long,35,0
0,long,16,0
0,long,25,0
1,short,31,0
1,short,25,0
1,short,15,0
1,short,20,0
1,no_email,28,0
0,short,15,0
0,long,17,0
1,long,19,0
0,long,29,0
1,long,16,0
1,short,18,0
1,short,15,0
1,short,39,0
1,short,20,0
1,short,28,0
0,long,15,0
0,short,18,0
1,long,27,0
0,short,22,0
0,long,18,0
1,short,24,0
1,short,19,0
1,short,20,0
1,no_email,22,0
1,long,14,0
0,no_email,16,0
0,short,22,0
0,long,15,0
0,short,18,1
1,short,18,0
0,no_email,17,0
1,long,33,0
1,short,18,0
0,long,25,0
1,long,22,0
1,short,15,0
0,short,15,0
1,long,24,0
1,no_email,21,0
1,long,32,0
0,no_email,18,0
0,long,29,0
0,long,21,0
1,long,22,0
0,long,32,0
0,short,21,0
1,long,21,0
1,no_email,15,1
1,no_email,14,0
1,long,23,0
1,short,17,0
0,short,19,1
1,long,18,0
0,long,24,0
1,short,16,0
0,short,20,0
1,long,18,0
1,short,15,0
0,short,19,0
1,no_email,22,0
0,no_email,31,0
0,long,17,0
0,long,20,0
0,no_email,31,0
1,no_email,18,0
1,no_email,17,0
0,no_email,15,0
0,short,20,0
0,no_email,19,0
1,short,20,0
1,short,18,0
1,long,18,0
0,no_email,41,0
0,short,24,0
1,short,19,0
0,short,16,0
1,short,23,0
0,long,23,0
0,short,16,1
1,short,26,0
0,no_email,22,0
1,no_email,16,1
0,short,19,0
1,long,15,0
0,short,17,1
1,no_email,26,0
0,short,15,0
0,short,15,0
1,no_email,20,0
0,no_email,18,0
0,short,20,0
1,no_email,21,0
1,short,17,0
1,long,27,0
1,short,18,0
0,no_email,21,0
0,no_email,21,0
0,long,22,0
1,no_email,18,0
0,short,14,0
1,no_email,22,0
1,short,16,1
1,long,23,0
1,short,20,0
0,short,19,0
0,long,19,0
0,no_email,19,0
1,short,17,0
1,short,23,0
0,no_email,21,0
1,no_email,15,0
0,long,15,0
0,no_email,15,0
1,no_email,16,0
1,no_email,29,0
1,short,15,1
0,long,15,0
1,short,15,0
1,long,14,0
0,short,17,0
0,short,14,0
1,no_email,29,0
0,no_email,15,0
0,long,24,0
0,no_email,14,0
1,long,24,0
0,short,20,1
1,short,25,0
1,no_email,16,0
0,short,23,0
0,long,16,0
1,no_email,24,0
0,short,28,0
1,long,24,0
0,no_email,30,0
1,no_email,19,0
0,no_email,18,0
0,long,16,0
0,long,16,0
0,no_email,15,0
1,no_email,23,0
1,no_email,17,0
0,long,18,0
0,short,22,0
0,long,19,0
1,short,36,0
1,long,19,0
0,long,18,0
1,no_email,30,0
0,no_email,14,0
1,long,26,0
1,no_email,18,0
1,short,19,0
1,short,20,0
1,long,18,0
1,long,18,0
0,long,15,0
1,short,17,1
1,short,16,0
1,long,39,0
1,no_email,17,0
1,short,24,0
1,short,17,1
0,no_email,24,0
1,short,35,0
0,long,16,1
1,short,22,0
0,long,21,0
0,long,28,0
1,short,20,0
1,short,17,0
1,long,22,0
1,long,25,0
1,short,15,0
1,long,18,0
1,long,20,0
1,short,21,0
1,short,16,1
1,short,19,0
0,long,18,0
1,short,18,1
1,long,21,0
0,no_email,18,0
1,long,21,0
1,long,32,0
0,long,17,1
1,long,19,0
1,long,26,0
0,long,20,0
0,long,25,0
0,no_email,18,0
1,no_email,22,0
0,no_email,24,0
0,long,19,0
1,long,34,0
1,short,16,0
0,no_email,15,0
1,short,20,0
0,short,17,1
1,no_email,20,0
0,short,20,0
1,long,15,0
1,long,20,0
1,no_email,14,0
0,long,28,0
0,long,17,1
1,long,28,0
1,long,20,0
1,short,33,0
1,long,20,0
0,short,20,0
0,short,15,0
1,long,18,0
1,short,20,0
0,short,20,0
0,short,27,0
0,long,19,0
1,long,31,0
1,no_email,26,0
0,short,18,0
0,long,26,0
1,short,23,0
0,short,26,0
0,no_email,27,0
1,short,16,0
0,long,24,0
1,no_email,16,0
1,long,18,0
1,no_email,23,0
1,long,38,0
1,short,27,0
0,no_email,27,0
1,no_email,42,0
0,long,17,0
1,no_email,16,0
0,no_email,18,0
1,short,23,0
1,long,19,0
1,no_email,21,1
0,short,19,0
0,short,24,0
0,long,20,0
1,no_email,29,0
1,no_email,30,0
1,no_email,14,0
1,long,18,0
1,short,37,0
1,short,17,0
0,no_email,15,0
1,short,23,0
1,no_email,20,0
0,long,23,0
1,long,21,0
0,no_email,21,0
0,no_email,17,0
0,no_email,18,0
1,long,17,1
0,long,22,0
1,no_email,24,0
0,no_email,23,0
1,no_email,22,0
1,no_email,26,0
1,short,35,0
1,short,19,0
0,no_email,23,0
1,no_email,17,0
1,long,29,0
1,short,19,0
1,short,26,0
0,no_email,19,0
1,long,14,1
0,short,19,0
1,long,27,0
1,no_email,21,0
0,long,14,0
1,short,19,0
0,no_email,15,0
1,long,23,0
1,short,20,0
1,short,18,1
0,short,30,0
0,short,21,0
1,long,29,0
0,short,26,0
1,short,18,0
0,long,18,0
1,no_email,16,0
0,no_email,15,0
1,no_email,16,0
1,long,24,1
