rand_points,d,delivery_time
True,0,5.84
False,0,5.4
False,0,8.86
False,0,8.79
True,0,10.93
False,0,7.02
True,0,13.3
False,0,7.95
True,0,10.26
False,0,9.45
True,0,10.25
False,0,5.66
True,0,9.32
False,0,7.49
True,0,8.24
False,0,5.49
True,0,7.57
False,0,6.2
True,0,7.4
False,0,7.92
True,1,3.06
False,1,5.16
True,0,5.75
False,0,7.99
True,1,7.8
False,1,4.01
True,0,8.14
False,0,9.33
True,0,11.45
False,0,12.15
True,0,10.19
False,0,11.4
True,1,7.54
False,1,4.92
True,1,3.99
False,1,3.89
True,1,1.86
False,1,3.65
True,0,6.7
False,0,6.45
True,1,4.5
False,1,2.26
True,0,4.54
False,0,9.14
True,0,7.19
False,0,8.34
True,1,7.29
False,1,6.54
True,0,6.14
False,0,10.86
True,0,11.48
False,0,10.97
True,0,11.23
False,0,12.36
True,0,11.74
False,0,12.39
True,1,8.98
False,1,6.47
True,1,4.47
False,1,4.96
True,0,5.34
False,0,9.96
True,1,5.47
False,1,2.72
True,0,6.32
False,0,6.66
True,1,6.43
False,1,4.44
True,1,4.01
False,1,0.77
True,1,3.59
False,1,4.73
True,0,7.74
False,0,11.1
True,0,11.57
False,0,9.91
True,1,10.48
False,1,8.12
True,1,5.64
False,1,7.08
True,1,5.18
False,1,5.32
True,1,5.41
False,1,4.58
True,0,6.89
False,0,8.57
True,0,8.34
False,0,9.58
True,1,5.38
False,1,4.49
True,0,6.2
False,0,7.25
True,0,8.92
False,0,9.24
True,0,10.75
False,0,10.29
True,1,7.72
False,1,6.99
True,0,8.26
False,0,12.42
True,0,11.65
False,0,14.11
True,1,9.3
False,1,7.67
True,1,4.88
False,1,6.54
True,0,8.76
False,0,8.08
True,1,7.81
False,1,4.86
True,0,4.62
False,0,9.38
True,1,6.29
False,1,2.1
True,0,7.11
False,0,6.41
True,1,6.97
False,1,3.29
False,1,6.18
False,1,4.43
